UUID_FORM,CAREER,TIME_OF_ARRIVAL,TIME_OF_DEPARTURE,SEX,SMOKER,ELOQUENCE_LEVEL,IMPORTANCE_SMOKER,IMPORTANCE_ELOQUENCE,IMPORTANCE_MUSIC,IMPORTANCE_SEX,TRANSPORT,MUSIC,CARPOOL,CARPOOL_CAR,CARPOOL_NO_CAR
1,Ingeniería Informática,9:30:00,20:00:00,Hombre,No,Medio,3,3,1,1,No Car,SILENCE,Si,,Si
2,Ingeniería Informática,8:00:00,19:00:00,Hombre,Si,Introvertido,1,6,8,1,Car,NO_PREF,Si,Si,
4,Ingeniería Civil,13:00:00,19:00:00,Hombre,Si,Medio,9,5,7,1,No Car,METAL,Si,,Si
5,Administración de Empresas,18:30:00,22:00:00,Hombre,Si,Medio,1,4,1,1,Car,NO_PREF,Si,Si,
6,Ingeniería Informática,9:00:00,22:00:00,Hombre,No,Introvertido,6,5,5,5,No Car,SILENCE,Si,,Si
7,Ingeniería Informática,9:00:00,12:30:00,Hombre,No,Medio,8,5,7,1,Car,"ROCK, RAP",Si,Si,
8,Medicina,7:30:00,17:00:00,Hombre,No,Medio,10,1,1,1,Car,NO_PREF,No,No,
9,Ingeniería Informática,13:00:00,18:00:00,Hombre,No,Medio,10,5,1,1,Car,ROCK,Si,Si,
10,Ingeniería Informática,9:00:00,18:00:00,Hombre,No,Medio,1,3,1,1,Car,"ROCK, RAP, REGGAE, TRAP",Si,Si,
11,Ingeniería Informática,13:00:00,18:00:00,Hombre,No,Extrovertido,1,10,6,1,Car,NO_PREF,Si,Si,
12,Medicina,7:30:00,13:00:00,Mujer,No,Medio,1,1,5,5,No Car,NO_PREF,Si,,Si
13,Ingeniería Industrial,7:30:00,16:30:00,Mujer,No,Extrovertido,1,1,1,1,No Car,POP,Si,,Si
14,Arquitectura,8:00:00,12:00:00,Mujer,No,Extrovertido,5,1,1,1,No Car,NO_PREF,Si,,Si
15,Medicina,7:00:00,14:00:00,Mujer,No,Extrovertido,5,3,1,1,Car,NO_PREF,Si,Si,
16,Medicina,7:30:00,15:00:00,Mujer,Si,Medio,3,3,1,1,No Car,NO_PREF,Si,,Si
17,Medicina,7:30:00,15:00:00,Hombre,No,Medio,1,1,1,1,Car,NO_PREF,Si,Si,
18,Ingeniería Informática,9:00:00,17:00:00,Hombre,No,Medio,4,4,5,1,No Car,"POP, ELECTRONIC, ROCK",Si,,Si
19,Medicina,7:30:00,16:00:00,Mujer,No,Extrovertido,1,5,5,1,No Car,NO_PREF,Si,,Si
20,Economía,18:30:00,22:00:00,Mujer,No,Medio,10,7,3,5,Car,NO_PREF,Si,Si,
21,Medicina,7:30:00,13:00:00,Mujer,No,Medio,10,3,6,2,Car,"NO_PREF, POP, REGGAE",Si,Si,
22,Medicina,7:30:00,13:00:00,Mujer,No,Medio,10,4,4,1,Car,NO_PREF,Si,Si,
23,Ingeniería Informática,9:00:00,18:35:00,Hombre,No,Medio,10,1,1,1,No Car,"POP, ROCK",Si,,Si
24,Ingeniería Informática,9:00:00,14:00:00,Hombre,No,Medio,1,2,1,1,Car,ROCK,Si,Si,
25,Arquitectura,9:00:00,17:30:00,Mujer,No,Medio,1,1,8,1,Car,"TECHNO, ROCK, REGGAE",Si,Si,
26,Ingeniería Electrónica,7:30:00,17:00:00,Hombre,No,Medio,8,5,5,1,Car,"TECHNO, ELECTRONIC, ROCK, METAL, RAP, SILENCE",Si,Si,
27,Medicina,7:30:00,17:00:00,Hombre,No,Medio,10,1,1,1,Car,NO_PREF,Si,Si,
28,Ingeniería Civil,13:00:00,18:30:00,Mujer,No,Medio,3,1,3,1,No Car,"POP, ROCK, METAL, REGGAE",Si,,Si
29,Análisis de Sistema,18:00:00,21:45:00,Hombre,No,Medio,8,3,1,1,Car,"POP, ELECTRONIC, RAP, REGGAETON, TRAP",Si,Si,
30,Medicina,7:15:00,18:00:00,Mujer,No,Medio,5,2,5,3,No Car,POP,Si,,Si
31,Marketing,18:30:00,22:00:00,Mujer,No,Extrovertido,10,6,7,1,Car,NO_PREF,Si,Si,
32,Medicina,8:00:00,16:45:00,Mujer,No,Extrovertido,7,5,4,1,Car,NO_PREF,No,No,
33,Medicina,7:30:00,17:30:00,Hombre,No,Medio,5,5,8,1,Car,"POP, ELECTRONIC, ROCK, REGGAETON, FUNK",Si,Si,
34,Ingeniería Civil,9:00:00,18:00:00,Hombre,Si,Medio,2,6,4,1,No Car,NO_PREF,Si,,Si
35,Ingeniería Electrónica,9:10:00,12:10:00,Hombre,No,Medio,4,1,1,1,Car,"ELECTRONIC, ROCK, RAP, REGGAETON, TRAP",Si,Si,
36,Medicina,7:00:00,17:45:00,Mujer,No,Medio,8,6,1,1,Car,NO_PREF,Si,Si,
37,Medicina,8:00:00,16:00:00,Mujer,No,Medio,10,5,1,1,Car,"POP, ROCK, CUMBIA, REGGAETON, FUNK",Si,Si,
38,Medicina,7:30:00,12:00:00,Mujer,No,Medio,9,10,10,1,No Car,"POP, REGGAETON",Si,,Si
39,Medicina,7:00:00,13:00:00,Mujer,No,Medio,5,1,1,1,Car,NO_PREF,Si,Si,
40,Ingeniería Informática,7:30:00,15:30:00,Mujer,No,Medio,10,1,5,5,Car,POP,Si,Si,
41,Ingeniería Electrónica,13:45:00,19:00:00,Hombre,No,Medio,5,5,10,1,No Car,ROCK,Si,,Si
42,Medicina,7:30:00,12:00:00,Hombre,No,Introvertido,1,1,1,1,No Car,NO_PREF,Si,,Si
43,Medicina,7:30:00,11:00:00,Hombre,Si,Medio,4,2,3,1,Car,NO_PREF,Si,Si,
44,Administración de Empresas,19:00:00,21:50:00,Mujer,No,Medio,10,1,5,3,Car,"POP, REGGAETON",Si,Si,
45,Medicina,7:30:00,17:30:00,Mujer,No,Medio,1,1,1,1,No Car,NO_PREF,Si,,Si
46,Ingeniería Informática,8:30:00,17:30:00,Hombre,No,Extrovertido,10,8,2,2,No Car,SILENCE,Si,Si,
47,Comercio Internacional,18:30:00,22:10:00,Hombre,No,Medio,1,1,1,1,No Car,"POP, ROCK, METAL, REGGAE",Si,,Si
48,Administración de Empresas,18:30:00,22:00:00,Mujer,No,Extrovertido,7,1,1,1,Car,"NO_PREF, POP, ELECTRONIC, REGGAETON, TRAP",No,No,
49,Ingeniería Civil,13:00:00,18:00:00,Mujer,No,Extrovertido,1,1,1,1,Car,"POP, TECHNO",Si,Si,
50,Administración de Empresas,19:00:00,21:00:00,Mujer,No,Extrovertido,6,8,5,4,Car,"POP, ROCK",No,No,
